"AB_category"	"category_description"	"gene"	"gene_description"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-201"	"OXA-201 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-202"	"OXA-202 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-219"	"OXA-219 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-223"	"OXA-223 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-231"	"OXA-231 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-49"	"OXA-49 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-120"	"OXA-120 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-248"	"OXA-248 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-249"	"OXA-249 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-250"	"OXA-250 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-235"	"OXA-235 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-236"	"OXA-236 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-237"	"OXA-237 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-241"	"OXA-241 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-242"	"OXA-242 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-278"	"OXA-278 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-254"	"OXA-254 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-312"	"OXA-312 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-313"	"OXA-313 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-314"	"OXA-314 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-315"	"OXA-315 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-316"	"OXA-316 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-317"	"OXA-317 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-253"	"OXA-253 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-255"	"OXA-255 is a beta-lactamase found in A. baumannii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-228"	"OXA-228 is a beta-lactamase found in A. bereziniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-229"	"OXA-229 is a beta-lactamase found in A. bereziniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-230"	"OXA-230 is a beta-lactamase found in A. bereziniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-257"	"OXA-257 is a beta-lactamase found in A. bereziniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-134"	"OXA-134 is a beta-lactamase found in A. lwoffii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-133"	"OXA-133 is a beta-lactamase found in A. radioresistens"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-86"	"OXA-86 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-87"	"OXA-87 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-72"	"OXA-72 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-182"	"OXA-182 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-211"	"OXA-211 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-212"	"OXA-212 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-213"	"OXA-213 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-214"	"OXA-214 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-215"	"OXA-215 is a beta-lactamase found in Acinetobacter spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-63"	"OXA-63 is a beta-lactamase found in Brachyspira spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-136"	"OXA-136 is a beta-lactamase found in Brachyspira spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-192"	"OXA-192 is a beta-lactamase found in Brachyspira spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-137"	"OXA-137 is a beta-lactamase found in Brachyspira spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-118"	"OXA-118 is a beta-lactamase found in Burkholderia cepacia"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-42"	"OXA-42 is a beta-lactamase found in Burkholderia pseudomallei"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-43"	"OXA-43 is a beta-lactamase found in Burkholderia pseudomallei"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-57"	"OXA-57 is a beta-lactamase found in Burkholderia pseudomallei"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-59"	"OXA-59 is a beta-lactamase found in Burkholderia pseudomallei"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-61"	"OXA-61 is a beta-lactamase found in Campylobacter jejuni"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-370"	"OXA-370 is a beta-lactamase found in Enterobacter hormaechei"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-119"	"OXA-119 is a beta-lactamase found in Enterobacteriaceae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-162"	"OXA-162 is a beta-lactamase found in Enterobacteriaceae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-347"	"OXA-347 is a beta-lactamase found in Enterobacteriaceae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-232"	"OXA-232 is a beta-lactamase found in Enterobacteriaceae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-146"	"OXA-146 is a beta-lactamase found in Enterobacteriaceae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-85"	"OXA-85 is a beta-lactamase found in Fusobacterium nucleatum"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-47"	"OXA-47 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-48"	"OXA-48 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-163"	"OXA-163 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-181"	"OXA-181 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-73"	"OXA-73 is a beta-lactamase found in Klebsiella pneumonia"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-244"	"OXA-244 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-245"	"OXA-245 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-204"	"OXA-204 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-247"	"OXA-247 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-62"	"OXA-62 is a beta-lactamase found in Pandoraea pnomenusa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-320"	"OXA-320 is a beta-lactamase found in Proteus mirabilis"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-45"	"OXA-45 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-56"	"OXA-56 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-50"	"OXA-50 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-46"	"OXA-46 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-74"	"OXA-74 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-161"	"OXA-161 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-226"	"OXA-226 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-147"	"OXA-147 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-141"	"OXA-141 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-142"	"OXA-142 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-145"	"OXA-145 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-198"	"OXA-198 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-224"	"OXA-224 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-246"	"OXA-246 is a beta-lactamase found in Pseudomonas aeruginosa"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-60"	"OXA-60 is a beta-lactamase found in Ralstonia pickettii"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-209"	"OXA-209 is a beta-lactamase found in Riemerella anatipestifer"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-53"	"OXA-53 is a beta-lactamase found in Salmonella enterica"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-129"	"OXA-129 is a beta-lactamase found in Salmonella enterica"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-54"	"OXA-54 is a beta-lactamase found in Shewanella spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-55"	"OXA-55 is a beta-lactamase found in Shewanella spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"OXA-199"	"OXA-199 is a beta-lactamase found in Shewanella spp."
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"ACC-1"	"ACC-1 is a beta-lactamase found in Klebsiella pneumoniae"
"beta-lactam"	"Beta-lactam antibiotics are a broad class of antibiotics that include penams (penicillin derivatives), cephems (cephalosporins), monobactams, and carbapenems. These antibiotic agents contain a beta-lactam nucleus in its molecular structure. They are the most widely-used group of antibiotics."	"ACC-2"	"ACC-2 is a beta-lactamase found in Hafnia alvei"
