"AB_category"	"category_description"	"gene"	"gene_description"
"Acid"	""	"gadC/xasA"	"GadC functions as a transporter for the product of glutamate decarboxylase, g-aminobutyrate"
"Copper (Cu)"	""	"ctpG"	"Cation-transporting ATPase G; Response to copper ion"
"Iron (Fe)"	""	"bfrA"	"Bacterioferritin bfrA; Iron-storage protein, whose ferroxidase center binds Fe2+ ions, oxidizes them by dioxygen to Fe3+, and participates in the subsequent Fe3+ oxide mineral core formation within the central cavity of the protein complex"
"Cadmium (Cd)"	""	"yodD"	"Stress protein YodD; a yodD mutant strain is sensitive to hydrogen peroxide and acid"
"Peroxides"	""	"yodD"	"Stress protein YodD; a yodD mutant strain is sensitive to hydrogen peroxide and acid"
"Acid"	""	"yodD"	"Stress protein YodD; a yodD mutant strain is sensitive to hydrogen peroxide and acid"
"Cobalt (Co)"	""	"rcnR/yohL"	"Repressor of rcnA, rcnR. Acts by binding specifically to the rcnA promoter in the absence of nickel and cobalt. In the presence of one of these metals, it has a weaker affinity for rcnA promoter. Can repress the rcnB expression as well."
"Nickel (Ni)"	""	"rcnR/yohL"	"Repressor of rcnA, rcnR. Acts by binding specifically to the rcnA promoter in the absence of nickel and cobalt. In the presence of one of these metals, it has a weaker affinity for rcnA promoter. Can repress the rcnB expression as well."
"Iron (Fe)"	""	"rcnR/yohL"	"Repressor of rcnA, rcnR. Acts by binding specifically to the rcnA promoter in the absence of nickel and cobalt. In the presence of one of these metals, it has a weaker affinity for rcnA promoter. Can repress the rcnB expression as well."
"Nickel (Ni)"	""	"rcnB/yohN"	"Nickel/cobalt homeostasis protein RcnB; Act by modulating RcnA-mediated export of these ions to avoid excess efflux. Not involved in nickel import and does not bind nickel or cobalt ions directly. Repressed by RcnR. Induced by nickel and cobalt"
"Cobalt (Co)"	""	"rcnB/yohN"	"Nickel/cobalt homeostasis protein RcnB; Act by modulating RcnA-mediated export of these ions to avoid excess efflux. Not involved in nickel import and does not bind nickel or cobalt ions directly. Repressed by RcnR. Induced by nickel and cobalt"
"Cadmium (Cd)"	""	"yhcN"	"Outer membrane protein YhcN; stress response protein"
"Peroxides"	""	"yhcN"	"Outer membrane protein YhcN; stress response protein"
"Acid"	""	"yhcN"	"Outer membrane protein YhcN; stress response protein"
"Copper (Cu)"	""	"mctB"	"Pore-forming protein MctB, which is involved in efflux of copper across the outer membrane. Essential for copper resistance and maintenance of a low intracellular copper concentration. Required for virulence."
"Cobalt (Co)"	""	"cmtR"	"Metal-responsive transcriptional repressor for the cmt operon. Binding of cadmium or lead causes the repressor to dissociate from the DNA."
"Nickel (Ni)"	""	"cmtR"	"Metal-responsive transcriptional repressor for the cmt operon. Binding of cadmium or lead causes the repressor to dissociate from the DNA."
"Copper (Cu)"	""	"cutC"	"Copper homeostasis protein CutC; Involved in copper homeostasis; Located in cytoplasm"
"Acid"	""	"mdtI/ydgE"	"Spermidine export protein MdtI; Catalyzes the excretion of spermidine. Can also confer resistance to deoxycholate and SDS"
"Organo-sulfate"	""	"mdtI/ydgE"	"Spermidine export protein MdtI; Catalyzes the excretion of spermidine. Can also confer resistance to deoxycholate and SDS"
"Polyamines"	""	"mdtI/ydgE"	"Spermidine export protein MdtI; Catalyzes the excretion of spermidine. Can also confer resistance to deoxycholate and SDS"
"Zinc (Zn)"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons. Overexpression of BaeR increases resistance to novobiocin and deoxycholate. BaeR upregulates the mdtABCD locus and acrD and thereby increases the resistance to deoxycholate, metals and antibiotics."
"Tungsten (W)"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons. Overexpression of BaeR increases resistance to novobiocin and deoxycholate. BaeR upregulates the mdtABCD locus and acrD and thereby increases the resistance to deoxycholate, metals and antibiotics."
"Acid"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons. Overexpression of BaeR increases resistance to novobiocin and deoxycholate. BaeR upregulates the mdtABCD locus and acrD and thereby increases the resistance to deoxycholate, metals and antibiotics."
"Iron (Fe)"	""	"fieF/yiip"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
"Zinc (Zn)"	""	"fieF/yiip"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
"Cobalt (Co)"	""	"fieF/yiip"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
"Cadmium (Cd)"	""	"fieF/yiip"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
"Nickel (Ni)"	""	"fieF/yiip"	"Iron-efflux transporter responsible for iron detoxification. Also able to transport Zn2+ in a proton-dependent manner. The CDF protein, FieF, is mainly a ferrous iron detoxifying protein but also mediated some resistance against other divalent metal cations such as Zn(II), Co(II), Cd(II), and Ni(II) in W. metallidurans or Escherichia coli."
"Copper (Cu)"	""	"cutA"	"Divalent-cation tolerance protein CutA; Involved in resistance toward heavy metals"
"Acid"	""	"gadA"	"TolC is required for expression of glutamate decarboxylase (GadA, GadB), a key component of glutamate-dependent acid resistance (Gad); Converts glutamate to gamma-aminobutyrate (GABA), consuming one intracellular proton in the reaction. The gad system helps to maintain a near-neutral intracellular pH when cells are exposed to extremely acidic conditions. The ability to survive transit through the acidic conditions of the stomach is essential for successful colonization of the mammalian host by commensal and pathogenic bacteria."
"Acid"	""	"gadB"	"TolC is required for expression of glutamate decarboxylase (GadA, GadB), a key component of glutamate-dependent acid resistance (Gad); Converts glutamate to gamma-aminobutyrate (GABA), consuming one intracellular proton in the reaction. The gad system helps to maintain a near-neutral intracellular pH when cells are exposed to extremely acidic conditions. The ability to survive transit through the acidic conditions of the stomach is essential for successful colonization of the mammalian host by commensal and pathogenic bacteria."
"Quaternary Ammonium Compounds (QACs)"	""	"mmR"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
"Acridine"	""	"mmR"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
"Phenanthridine"	""	"mmR"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
"Azin"	""	"mmR"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
"Xanthene"	""	"mmR"	"Multidrug efflux pump mmR. Confers resistance to tetraphenylphosphonium (TPP), erythromycin, ethidium bromide, acriflavine, safranin O and pyronin Y."
"Quaternary Ammonium Compounds (QACs)"	""	"sugE"	"Quaternary ammonium compound-resistance protein sugE, Quaternary ammonium compound efflux pump. Confers resistance to cetylpyridinium, cetyldimethylethyl ammonium and cetrimide cations; Unlike the other members of the SMR family, SugE exhibits a narrow specificity for a very specific class of compounds."
"Phenanthridine"	""	"sugE"	"Quaternary ammonium compound-resistance protein sugE, Quaternary ammonium compound efflux pump. Confers resistance to cetylpyridinium, cetyldimethylethyl ammonium and cetrimide cations; Unlike the other members of the SMR family, SugE exhibits a narrow specificity for a very specific class of compounds."
"Organo-sulfate"	""	"sugE"	"Quaternary ammonium compound-resistance protein sugE, Quaternary ammonium compound efflux pump. Confers resistance to cetylpyridinium, cetyldimethylethyl ammonium and cetrimide cations; Unlike the other members of the SMR family, SugE exhibits a narrow specificity for a very specific class of compounds."
"Phenolic compounds"	""	"fabL/ygaA"	"Enoyl-(acyl-carrier-protein) reductase (NADPH) FabL; It catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). It confers resistance to triclosan. It is an alternative target site where fabI is absent for antibacterial compound triclosan."
"Iron (Fe)"	""	"fbpB"	"Fe(3+)-transport system permease protein FbpB; Part of the ABC transporter complex FbpABC involved in Fe3+ ions import. This protein specifically binds Fe3+ and is involved in its transmembrane transport"
"Gallium (Ga)"	""	"fbpB"	"Fe(3+)-transport system permease protein FbpB; Part of the ABC transporter complex FbpABC involved in Fe3+ ions import. This protein specifically binds Fe3+ and is involved in its transmembrane transport"
"Arsenic (As)"	""	"arsB"	"Able to export both As(III) and Sb(III) and providies a example of convergent evolution between both families of arsenite transporters."
"Antimony (Sb)"	""	"arsB"	"Able to export both As(III) and Sb(III) and providies a example of convergent evolution between both families of arsenite transporters."
"Naphthoquinone"	""	"arsH"	"ArsH from Synechocystis sp. does not cofer resistance to arsenic (reduction of arsenate) as the arsH of Synechocystis sp. lacks cyestein residues.  arsH encodes an NADPH-flavin mononucleotide oxidoreductase. ArsH plays a role in the response to oxidative stress caused by arsenite."
"Arsenic (As)"	""	"arsC"	"Arsenate reductase. Reduces arsenate [As(V)] to arsenite [As(III)]."
"Arsenic (As)"	""	"arsR"	"Arsenite inducible repressor ArsR"
"Tellurium (Te)"	""	"terW"	"Tellurium resistance protein TerW; ter operon (terZABCDE) is naturally controlled by the terW gene product"
"Zinc (Zn)"	""	"zitB/ybgR"	"Zinc transporter ZitB; Involved in zinc efflux across the cytoplasmic membrane, thus reducing zinc accumulation in the cytoplasm and rendering bacteria more resistant to zinc; contributes to Zn++ haemostatis at low (non-toxic) concentrations; Appears to be selective for zinc, not conferring resistance to cobalt nor cadmium"
"Copper (Cu)"	""	"comR/ycfQ"	"Represses expression of BhsA/ComC by binding to its promoter region in the absence of copper."
"Acid"	""	"ymgB/ariR"	"Two-component-system connector protein YmgB/AriR; a connector protein for RcsB/C regulation of biofilm and acid-resistance, providing additional signal input into the two-component signaling pathway. May serve to stimulate biofilm maturation, via the Rcs phosphorelay. Regulates expression of genes involved in acid-resistance and biofilm formation, including the RcsB/C two-component system. May be a non-specific DNA-binding protein that binds genes and/or intergenic regions via a geometric recognition. Also confers resistance to H2O2. Overexpression at 28 and 16 degrees Celsius increases the production of colanic acid, an exopolysaccharide and matrix component, and reduces adhesive curli fimbriae expression. Both of these effects require RcsB; YmgB probably acts upstream of the RcsB/C system to stimulate the activity and not transcription of RcsB/C. 5-fluorouracil reduction in biofilm formation requires this protein. Deletion increases biofilm formation."
"Peroxides"	""	"ymgB/ariR"	"Two-component-system connector protein YmgB/AriR; a connector protein for RcsB/C regulation of biofilm and acid-resistance, providing additional signal input into the two-component signaling pathway. May serve to stimulate biofilm maturation, via the Rcs phosphorelay. Regulates expression of genes involved in acid-resistance and biofilm formation, including the RcsB/C two-component system. May be a non-specific DNA-binding protein that binds genes and/or intergenic regions via a geometric recognition. Also confers resistance to H2O2. Overexpression at 28 and 16 degrees Celsius increases the production of colanic acid, an exopolysaccharide and matrix component, and reduces adhesive curli fimbriae expression. Both of these effects require RcsB; YmgB probably acts upstream of the RcsB/C system to stimulate the activity and not transcription of RcsB/C. 5-fluorouracil reduction in biofilm formation requires this protein. Deletion increases biofilm formation."
"Acid"	""	"ydeO"	"HTH-type transcriptional regulator YdeO; Induces the Expression of gadE and mdtEF. Could also regulate the Expression of other genes involved in acid resistance"
"Xanthene"	""	"ydeO"	"HTH-type transcriptional regulator YdeO; Induces the Expression of gadE and mdtEF. Could also regulate the Expression of other genes involved in acid resistance"
"Organo-sulfate"	""	"ydeO"	"HTH-type transcriptional regulator YdeO; Induces the Expression of gadE and mdtEF. Could also regulate the Expression of other genes involved in acid resistance"
"Manganese (Mn)"	""	"mntP/yebN"	"MntP; Functions as a manganese efflux pump"
"Magnesium (Mg)"	""	"mntP/yebN"	"MntP; Functions as a manganese efflux pump"
"Paraquat"	""	"mntP/yebN"	"MntP; Functions as a manganese efflux pump"
"Peroxides"	""	"mntP/yebN"	"MntP; Functions as a manganese efflux pump"
"Cadmium (Cd)"	""	"zinT/yodA"	"Metal-binding protein (Cadmium-induced protein) ZinT; Function as a periplasmic zinc chaperone or mediate direct transport of zinc from the periplasm to the cytoplasm under zinc-limited conditions. Binds zinc with high affinity, and can also bind cadmium, mercury or nickel. Preferentially binds Zn2+ over Cd2+. Contains one high affinity metal binding site, and can bind additional metal ions at other sites; Repressed by Zur"
"Zinc (Zn)"	""	"zinT/yodA"	"Metal-binding protein (Cadmium-induced protein) ZinT; Function as a periplasmic zinc chaperone or mediate direct transport of zinc from the periplasm to the cytoplasm under zinc-limited conditions. Binds zinc with high affinity, and can also bind cadmium, mercury or nickel. Preferentially binds Zn2+ over Cd2+. Contains one high affinity metal binding site, and can bind additional metal ions at other sites; Repressed by Zur"
"Acid"	""	"mdtA/yegM"	"Multidrug resistance protein MdtA; The MdtABC tripartite complex confers resistance against novobiocin and deoxycholate; MdtABC requires TolC for its function"
"Acid"	""	"mdtB/yegN"	"Multidrug resistance protein MdtB; The MdtABC tripartite complex confers resistance against novobiocin and deoxycholate. MdtABC requires TolC for its function. "
"Acid"	""	"mdtC/yegO"	"Multidrug resistance protein MdtC; The MdtABC tripartite complex confers resistance against novobiocin and deoxycholate. MdABC requires TolC for its function. "
"Cobalt (Co)"	""	"rcnA/yohM"	"Efflux system rcnA for nickel and cobalt; Transcriptionally repressed by RcnR. Probably also regulated by Fur. Cadmium, copper and zinc have no effect on the transcription"
"Nickel (Ni)"	""	"rcnA/yohM"	"Efflux system rcnA for nickel and cobalt; Transcriptionally repressed by RcnR. Probably also regulated by Fur. Cadmium, copper and zinc have no effect on the transcription"
"Iron (Fe)"	""	"rcnA/yohM"	"Efflux system rcnA for nickel and cobalt; Transcriptionally repressed by RcnR. Probably also regulated by Fur. Cadmium, copper and zinc have no effect on the transcription"
"Copper (Cu)"	""	"cusC/ylcB"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver"
"Silver (Ag)"	""	"cusC/ylcB"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver"
"Copper (Cu)"	""	"cusF/cusX"	"Cation efflux system periplasmic protein CusF; Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver. Binds one copper per polypeptide ; located in Periplasm"
"Silver (Ag)"	""	"cusF/cusX"	"Cation efflux system periplasmic protein CusF; Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver. Binds one copper per polypeptide ; located in Periplasm"
"Copper (Cu)"	""	"cusB"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver; Belongs to the membrane fusion protein (MFP) family"
"Silver (Ag)"	""	"cusB"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver; Belongs to the membrane fusion protein (MFP) family"
"Iron (Fe)"	""	"fetA/ybbL"	"FetA, the ATP binding component subunit; FetAB allows for increased resistance to oxidative stress in the presence of iron"
"Peroxides"	""	"fetA/ybbL"	"FetA, the ATP binding component subunit; FetAB allows for increased resistance to oxidative stress in the presence of iron"
"Iron (Fe)"	""	"fetB/ybbM"	"FetB/YbbM is a membrane protein. FetAB allows for increased resistance to oxidative stress in the presence of iron"
"Peroxides"	""	"fetB/ybbM"	"FetB/YbbM is a membrane protein. FetAB allows for increased resistance to oxidative stress in the presence of iron"
"Copper (Cu)"	""	"cusS"	"Sensor kinase CusS; Member of the two-component regulatory system CusS/CusR. Copper ion sensor. Could also be a silver ion sensor. Activates CusR by phosphorylation; located in inner cell membrane"
"Silver (Ag)"	""	"cusS"	"Sensor kinase CusS; Member of the two-component regulatory system CusS/CusR. Copper ion sensor. Could also be a silver ion sensor. Activates CusR by phosphorylation; located in inner cell membrane"
"Acid"	""	"ydeP"	"Acid resistance protein YdeP; Involved in acid resistance"
"Copper (Cu)"	""	"hpcopA"	"Involved in copper export. "
"Copper (Cu)"	""	"ctpV"	"Copper-exporting P-type ATPase V; Necessary for copper homeostasis and likely functions as a copper exporter. Also required for full virulence."
"Mercury (Hg)"	""	"merT"	"Mercuric transport protein MerT; determines hyperaccumulation of Hg++ but not the CH3Hg+; Involved in mercuric transport. Passes a mercury ion from the periplasmic merP protein to the mercuric reductase (merA)."
"Copper (Cu)"	""	"ycnK"	"May act as a negative transcriptional regulator of ycnJ in the presence of copper. May use copper as a corepressor. Significantly induced under copper-limiting conditions. Cells lacking this gene show little or no difference in growth under copper deprivation, whereas possessing enhanced growth under copper excess conditions. Possess a high intracellular content of copper."
"Phenolic compounds"	""	"oprN"	"Multidrug efflux outer membrane protein OprN; part of the mexEF-oprN multidrug efflux system of Pseudomonas aeruginosa."
"Alkane"	""	"oprN"	"Multidrug efflux outer membrane protein OprN; part of the mexEF-oprN multidrug efflux system of Pseudomonas aeruginosa."
"Aromatic hydrocarbons"	""	"oprN"	"Multidrug efflux outer membrane protein OprN; part of the mexEF-oprN multidrug efflux system of Pseudomonas aeruginosa."
"Zinc (Zn)"	""	"troA"	"Periplasmic zinc-binding protein TroA; encodes the solute binding protein (SBP), Part of an ATP-driven transport system TroABCD for zinc. Substrate-binding protein involved in the transport of zinc across the cytoplasmic membrane."
"Manganese (Mn)"	""	"troA"	"Periplasmic zinc-binding protein TroA; encodes the solute binding protein (SBP), Part of an ATP-driven transport system TroABCD for zinc. Substrate-binding protein involved in the transport of zinc across the cytoplasmic membrane."
"Iron (Fe)"	""	"troA"	"Periplasmic zinc-binding protein TroA; encodes the solute binding protein (SBP), Part of an ATP-driven transport system TroABCD for zinc. Substrate-binding protein involved in the transport of zinc across the cytoplasmic membrane."
"Zinc (Zn)"	""	"troB"	"Zinc transport system ATP-binding protein TroB; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Manganese (Mn)"	""	"troB"	"Zinc transport system ATP-binding protein TroB; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Iron (Fe)"	""	"troB"	"Zinc transport system ATP-binding protein TroB; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Zinc (Zn)"	""	"troC"	"Zinc transport system membrane protein TroC; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Manganese (Mn)"	""	"troC"	"Zinc transport system membrane protein TroC; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Iron (Fe)"	""	"troC"	"Zinc transport system membrane protein TroC; cytoplasmic membrane permeases; Part of an ATP-driven transport system TroABCD for zinc"
"Zinc (Zn)"	""	"troD"	"Zinc transport system membrane protein TroD; Part of an ATP-driven transport system TroABCD for zinc."
"Manganese (Mn)"	""	"troD"	"Zinc transport system membrane protein TroD; Part of an ATP-driven transport system TroABCD for zinc."
"Iron (Fe)"	""	"troD"	"Zinc transport system membrane protein TroD; Part of an ATP-driven transport system TroABCD for zinc."
"Zinc (Zn)"	""	"troR"	"An iron activated repressor protein TroR of the troABCD transport system"
"Manganese (Mn)"	""	"troR"	"An iron activated repressor protein TroR of the troABCD transport system"
"Iron (Fe)"	""	"troR"	"An iron activated repressor protein TroR of the troABCD transport system"
"Cobalt (Co)"	""	"nhlF"	"Cobalt transporter nhlF. It has a significant sequence similarity to hoxN from Alcaligenes eutrophus, hupN from Bradyrhizobium japonicum, nixA from Helicobacter pylori etc. The protein has eight hydrophobic putative membrane-spanning domains."
"Chromium (Cr)"	""	"chrR"	"Cr(VI) reductase. Absent in P. putida. "
"Copper (Cu)"	""	"copR"	"Transcriptional activator protein CopR; Member of the two-component regulatory system CopS/CopR. Involved in the activation of copper resistance gene operon CopABCD. Phosphorylation of CopR by CopS would convert it into an active state to induce Expression of the cop operon by binding to a specific site on the cop operon promoter (cop box) and possibly by facilitating the binding of RNA polymerase to the cop promoter. CopR also binds to the chromosomally encoded cop operon promoter. May also be involved in basic copper metabolism."
"Copper (Cu)"	""	"copS"	"Sensor protein CopS. Member of the two-component regulatory system CopS/CopR. Involved in the activation of copper resistance gene operon copABCD. Specifically recognizes or transduces a signal only in response to copper. This would lead to phosphorylation of CopR in the cytoplasm. CopS/CopR may also regulate chromosomally encoded genes. May also be involved in basic copper metabolism."
"Nickel (Ni)"	""	"ncrY"	"Chromosoaml nickel-resistant determinant ncrY found both in chromosome and plasmids; some claims it has a negative effect on nickel resistance."
"Nickel (Ni)"	""	"ncrB"	"Chromosomal nickel-resistant determinant ncrB which is cytoplasmic, histidine-rich protein found in both chromosome and plasmids; probabale metal-sensitive repressor, involved in resistance to nickel ions"
"Nickel (Ni)"	""	"ncrA"	"Chromosomal nickel-resistant determinant ncrA found both in chromosome and plasmids. Part of ncrABCY nickel resistance Chromosomal determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrC."
"Phenanthridine"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Acridine"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Organo-sulfate"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Polyethylene glycol"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Polyoxyethylene"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Amine betaine"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Acid"	""	"cmeF"	"Integral membrane component of efflux system (Multidrug efflux system CmeDEF)"
"Phenanthridine"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Acridine"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Organo-sulfate"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Polyethylene glycol"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Polyoxyethylene"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Amine betaine"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Acid"	""	"cmeE"	"CmeE is a periplasmic fusion protein"
"Phenanthridine"	""	"cmeD"	"CmeD is the outer membrane protein."
"Acridine"	""	"cmeD"	"CmeD is the outer membrane protein."
"Organo-sulfate"	""	"cmeD"	"CmeD is the outer membrane protein."
"Polyethylene glycol"	""	"cmeD"	"CmeD is the outer membrane protein."
"Polyoxyethylene"	""	"cmeD"	"CmeD is the outer membrane protein."
"Amine betaine"	""	"cmeD"	"CmeD is the outer membrane protein."
"Acid"	""	"cmeD"	"CmeD is the outer membrane protein."
"Copper (Cu)"	""	"corS"	"Sensor histidine kinase CorS; corSR copper-responsive two component system that induces carotenoid production. It also regulates three multicopper oxidases: cuoA, cuoB, cuoC, and two P-type ATPases: copA and copB."
"Copper (Cu)"	""	"corR"	"Sigma-54 dependent DNA-binding response regulator CorR; corSR copper-responsive two component system that induces carotenoid production. It also regulates three multicopper oxidases: cuoA, cuoB, cuoC, and two P-type ATPases: copA and copB."
"Phenolic compounds"	""	"mexE"	"Multidrug efflux RND membrane fusion protein MexE; part of mexE-mexF-oprN efflux operon"
"Alkane"	""	"mexE"	"Multidrug efflux RND membrane fusion protein MexE; part of mexE-mexF-oprN efflux operon"
"Aromatic hydrocarbons"	""	"mexE"	"Multidrug efflux RND membrane fusion protein MexE; part of mexE-mexF-oprN efflux operon"
"Cobalt (Co)"	""	"ncrC"	"Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA."
"Nickel (Ni)"	""	"ncrC"	"Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA."
"Cobalt (Co)"	""	"ncrB"	"Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
"Nickel (Ni)"	""	"ncrB"	"Probabale metal-sensitive repressor, involved in resistance to nickel ions. Part of ncrABCY nickel resistance determinant system."
"Cobalt (Co)"	""	"ncrA"	"Part of the ncrABC determinant sytem. NcrA contributes to nickel and cobalt resistance in this bacterium."
"Nickel (Ni)"	""	"ncrA"	"Part of the ncrABC determinant sytem. NcrA contributes to nickel and cobalt resistance in this bacterium."
"Chromium (Cr)"	""	"chrI"	"ChrI, regulatory protein, involved in Chromate resistance."
"Cadmium (Cd)"	""	"czcE"	"CzcE, involved in Cd(II), Zn(II), Co(II) resistance; copH like protein; Co/Zn/Cd efflux system transmembrane protein"
"Zinc (Zn)"	""	"czcE"	"CzcE, involved in Cd(II), Zn(II), Co(II) resistance; copH like protein; Co/Zn/Cd efflux system transmembrane protein"
"Cobalt (Co)"	""	"czcE"	"CzcE, involved in Cd(II), Zn(II), Co(II) resistance; copH like protein; Co/Zn/Cd efflux system transmembrane protein"
"Cadmium (Cd)"	""	"czcP"	"P(IB4)-type ATPases; CzcP seemed to enhance metal resistance but relies on the action of the P(IB2)-type ATPases such as zntA, cadA, pbrA etc."
"Zinc (Zn)"	""	"czcP"	"P(IB4)-type ATPases; CzcP seemed to enhance metal resistance but relies on the action of the P(IB2)-type ATPases such as zntA, cadA, pbrA etc."
"Cobalt (Co)"	""	"czcP"	"P(IB4)-type ATPases; CzcP seemed to enhance metal resistance but relies on the action of the P(IB2)-type ATPases such as zntA, cadA, pbrA etc."
"Lead (Pb)"	""	"pbrD"	"PbrD, Pb(II) binding protein involved in Pb(II) resistance; a intracellular Pb binding protein (involved in Pb++ accumulation); function as a chaperone for Pb(II) or involved in Pb(II) sequestration ; PbrD is not absolutely required for Pb(II) resistance, but cells lacking PbrD show a decreased accumulation of Pb(II); part of the lead resistance determinant pbr operon (pbrABCD) which combines functions involved in uptake, efflux, and accumulation of Pb(II)"
"Zinc (Zn)"	""	"zneB/hmxB"	"Membrane fusion protein (MFP-RND) heavy metal cation tricomponent efflux zneB"
"Acridine"	""	"acrC"	"Cation/multidrug efflux system outer membrane porin arcC."
"Cobalt (Co)"	""	"dmeF"	"DmeF is a broad-range metal ion transporter that functions in E. coli and W. metallidurans. dmeF plays the central role in cobalt homeostasis in Wautersia metallidurans CH34."
"Cadmium (Cd)"	""	"dmeF"	"DmeF is a broad-range metal ion transporter that functions in E. coli and W. metallidurans. dmeF plays the central role in cobalt homeostasis in Wautersia metallidurans CH34."
"Nickel (Ni)"	""	"dmeF"	"DmeF is a broad-range metal ion transporter that functions in E. coli and W. metallidurans. dmeF plays the central role in cobalt homeostasis in Wautersia metallidurans CH34."
"Cobalt (Co)"	""	"dmeF"	"Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. "
"Nickel (Ni)"	""	"dmeF"	"Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. "
"Cobalt (Co)"	""	"dmeR"	"Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. "
"Nickel (Ni)"	""	"dmeR"	"Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. "
